,sents,chapter,entities,chunks,label
2117,"Meanwhile, consider this also.",19.0,[],[],0
2118,"In chapter 16 I had found the combined eccentricity to be 18,564, whose half, 9282, is just about the mean between 8000 and 9943.",19.0,"[('eccentricity', 'ASTR')]","[chapter, I, the combined eccentricity, whose half, the mean]",0
2119,"And Ptolemy too, as was remarked above, had taught us that half of the eccentricity found by acronychal observations is to be assigned to the eccentricity of the eccentric.",19.0,"[('eccentricity', 'ASTR'), ('eccentricity', 'ASTR'), ('eccentric', 'ASTR')]","[Ptolemy, us, half, the eccentricity, acronychal observations, the eccentricity]",0
2120,"So it was no lack of reason that so moved him, and we should not rashly reject this bisection, since the observed latitudes support it.",19.0,"[('observed', 'ASTR')]","[it, no lack, reason, him, we, this bisection, the observed latitudes, it]",0
2121,"Now if, on the other hand, we bisect the eccentricity of 18,564 that we found, we shall indeed represent the acronychal positions near the middle longitudes on the eccentric accurately enough, but not so well the positions around the octants and towards the apsides.",19.0,"[('eccentricity', 'ASTR'), ('18,564', 'PARA'), ('longitudes', 'ASTR'), ('eccentric', 'ASTR'), ('apsides', 'ASTR')]","[the other hand, we, the eccentricity, we, we, the acronychal positions, the middle longitudes, the eccentric, not so well the positions, the octants, the apsides]",0
2122,"Take, for example, the opposition in 1593.",19.0,"[('opposition', 'ASTR')]",[example],0
2123,"From the preceding chapter, the simple anomaly was 6s 11° 3' 16"".",19.0,"[('11° 3\' 16""', 'LONG')]","[the preceding chapter, the simple anomaly, 6s 11°]",1
2124,"I multiply the sine of 11° 3' 16"", namely, 19,174, by 9282 (before, it was to be multiplied by 7232).",19.0,"[('11° 3\' 16""', 'LONG')]","[I, the sine, 11°, it]",1
2125,"This gives 1780, the sine of the arc 1° 1' 12"", which is part of the equation.",19.0,"[('1° 1\' 12""', 'LONG')]","[the sine, arc, 1°, part, the equation]",1
2126,"When this is added to 11° 3' 16"", the sum is the semiequated anomaly, 6s 12° 4' 28"".",19.0,"[('11° 3\' 16""', 'LONG'), ('12° 4\' 28""', 'LONG')]","[11°, the sum, the semiequated anomaly]",1
2127,"The supplement of this is 167° 55' 32"", whose half is 83° 57' 46"".",19.0,"[('167° 55\' 32""', 'LONG'), ('83° 57\' 46""', 'LONG')]","[The supplement, 167°, whose half]",1
2128,"The tangent of this is about 945,500, which, multiplied by the perihelial distance of 90,718 and in turn divided by the aphelial distance of 109,282, gives a tangent of 784,880, whose arc is 82° 44' 20"".",19.0,"[('perihelial', 'ASTR'), ('90,718', 'PARA'), ('aphelial', 'ASTR'), ('82° 44\' 20""', 'LONG')]","[The tangent, the perihelial distance, turn, the aphelial distance, a tangent, whose arc, 82°]",1
2129,"This, subtracted from the 83° 57' 46"" found earlier, leaves 1° 13' 26"", which is the other part of the equation.",19.0,"[('83° 57\' 46""', 'LONG'), ('1° 13\' 26""', 'LONG')]","[the other part, the equation]",1
2130,"If this be added to the semi-equated anomaly, and the sum be added to the aphelion, it puts the planet at 12° 13' 37"" Pisces, which differs from the former hypothesis by three minutes, and is more distant from the observed position.",19.0,"[('equated anomaly', 'ASTR'), ('aphelion', 'ASTR'), ('12° 13\' 37"" Pisces', 'LONG'), ('observed', 'ASTR')]","[the semi-equated anomaly, the sum, the aphelion, it, the planet, 12° 13' 37"" Pisces, the former hypothesis, three minutes, the observed position]",0
2131,For it should have been 12° 16' Pisces.,19.0,"[(""12° 16' Pisces."", 'LONG')]","[it, 12° 16' Pisces]",1
2132,This appears more clearly at 17° Cancer in 1582.,19.0,"[('17° Cancer', 'LONG')]",[17° Cancer],1
2133,"For with the eccentricity bisected, Mars falls at 17° 4¾’ Cancer, and this calculated value differs from ours by 7⅔’ at about 45° from aphelion, but by about 9' from the observation.",19.0,"[('eccentricity', 'ASTR'), ('Mars', 'PLAN'), ('aphelion', 'ASTR'), ('observation', 'ASTR')]","[the eccentricity, Mars, 17° 4¾’ Cancer, this calculated value, ours, aphelion, the observation]",0
2134,"And from this difference of eight minutes, so small as it is, the reason is clear why Ptolemy, when he made use of bisection, was satisfied with a fixed equalizing point.",19.0,[],"[this difference, eight minutes, it, the reason, Ptolemy, he, use, bisection, a fixed equalizing point]",0
2135,"For if the eccentricity of the equant, whose magnitude the very large equations in the middle longitudes fix indubitably, be bisected, you see that the very greatest error from the observations reaches 8', and this in Mars,  which has the greatest eccentricity; it is therefore less for the rest.",19.0,"[('eccentricity', 'ASTR'), ('equant', 'ASTR'), ('longitudes', 'ASTR'), ('Mars', 'PLAN'), ('eccentricity', 'ASTR')]","[the eccentricity, the equant, whose magnitude, the very large equations, the middle longitudes, you, the very greatest error, the observations, Mars, the greatest eccentricity, it, the rest]",0
2136,"Now Ptolemy professes not to go below 10', or the sixth part of a degree, in his observation.",19.0,"[('observation', 'ASTR')]","[Ptolemy, a degree, his observation]",0
2137,"The uncertainty or (as they say) the ""latitude"" of the observations therefore exceeds the error in this Ptolemaic computation.",19.0,"[('latitude', 'ASTR'), ('Ptolemaic', 'NAME')]","[The uncertainty, they, the ""latitude, the observations, the error, this Ptolemaic computation]",0
2138,"Since the divine benevolence has vouchsafed us Tycho Brahe, a most diligent observer, from whose observations the 8' error of this Ptolemaic computation is shown in Mars, it is fitting that we with thankful mind both acknowledge and honor this favor of God.",19.0,"[('Tycho Brahe', 'NAME'), ('Ptolemaic', 'NAME'), ('Mars', 'PLAN')]","[the divine benevolence, us Tycho Brahe, a most diligent observer, whose observations, the 8' error, this Ptolemaic computation, Mars, it, we, thankful mind, this favor, God]",0
2139,"For it is in this that we shall carry on, to find at length the true form of the celestial motions, supported as we are by these proofs showing our suppositions to be fallacious.",19.0,[],"[it, we, length, the true form, the celestial motions, we, these proofs, our suppositions]",0
2140,"In what follows, I shall myself, to the best of my ability, lead the way for others on this road.",19.0,[],"[what, I, myself, my ability, the way, others, this road]",0
2141,"For if I had thought I could ignore eight minutes of longitude, in bisecting the eccentricity I would already have made enough of a correction in the hypothesis found in  Ch.",19.0,"[('longitude', 'ASTR'), ('eccentricity', 'ASTR')]","[I, I, eight minutes, longitude, the eccentricity, I, a correction, the hypothesis]",0
2142,16.,19.0,[],[],0
2143,"Now, because they could not be ignored, these eight minutes alone will have led the way to the reformation of all of astronomy, and have become the material for a great part of the present work.",19.0,[],"[they, these eight minutes, the way, the reformation, astronomy, the material, a great part, the present work]",0
2144,Chapter 20,20.0,[],[Chapter],0
2145,Refutation of the same hypothesis through observations in positions other than acronychal.,20.0,[],"[Refutation, the same hypothesis, observations, positions]",0
2146,"I shall now proceed to the other argument whereby the eccentricity of the eccentric as found in Chapter 161 is proven false, despite its providing true longitudinal motions.",20.0,"[('eccentricity', 'ASTR'), ('eccentric', 'ASTR'), ('longitudinal', 'ASTR')]","[I, the other argument, the eccentricity, Chapter, its providing true longitudinal motions]",0
2147,"This argument is based upon observations of Mars at positions with respect to the sun other than opposition, when the planet was observed in the region of the eccentric's apsides.",20.0,"[('Mars', 'PLAN'), ('opposition', 'ASTR'), ('observed', 'ASTR'), ('eccentric', 'ASTR'), ('apsides', 'ASTR')]","[This argument, observations, Mars, positions, respect, the sun, opposition, the planet, the region, the eccentric's apsides]",0
2148,"On 1600 March 5/15 about midnight, Mars was observed at 29° 12½' Cancer with latitude 3° 23' north.",20.0,"[('1600 March 5/15', 'DATE'), ('Mars', 'PLAN'), ('observed', 'ASTR'), ('latitude', 'ASTR'), (""3° 23'"", 'LONG'), ('north', 'ASTR')]","[midnight, Mars, 29° 12½' Cancer, latitude, 3°]",0
2149,"Its mean longitude, corrected by our addition,2 was 4s 29° 14' 58"", while the aphelion was at 4s 29° 2' 45"".",20.0,"[('longitude', 'ASTR'), ('29° 14\' 58""', 'LONG'), ('aphelion', 'ASTR'), ('29° 2\' 45""', 'LONG')]","[Its mean longitude, our addition,2, the aphelion]",1
2150,"Therefore, the anomaly was 0s 0° 12' 13"", requiring an equation of 2', to be subtracted, according to the hypothesis of eccentric positions established above.",20.0,"[('0° 12\' 13""', 'LONG'), ('eccentric', 'ASTR')]","[the anomaly, an equation, the hypothesis, eccentric positions]",0
2151,"Therefore, Mars's eccentric position was 29° 13' Leo, and the sun's position, 25° 45' 51"" Pisces.",20.0,"[('Mars', 'PLAN'), ('eccentric', 'ASTR'), (""29° 13' Leo"", 'LONG'), ('25° 45\' 51"" Pisces.', 'LONG')]","[Mars's eccentric position, 29°, Leo, the sun's position, 25° 45' 51"" Pisces]",1
2152,"In the diagram, let A be the sun, B Mars, and C the earth.",20.0,"[('diagram', 'ASTR'), ('Mars', 'PLAN')]","[the diagram, A, the sun, B Mars, C, the earth]",0
2153,"By subtraction of CB (29° 12½’ Cancer) from AB (29° 13' Leo) the angle CBA will be 30° 0' 30"", while by subtraction of CA (25° 45' 51"" Pisces) from CB (29° 12' 30"" Cancer), BCA will be 123° 26' 39"".",20.0,"[(""29° 13' Leo"", 'LONG'), ('30° 0\' 30""', 'LONG'), ('25° 45\' 51"" Pisces', 'LONG'), ('29° 12\' 30"" Cancer', 'LONG'), ('123° 26\' 39""', 'LONG')]","[subtraction, CB, AB, the angle CBA, 30°, subtraction, CA, CB, 29° 12' 30"" Cancer, BCA]",1
2154,"But as [sin] CBA is to CA, so is [sine] BCA to BA.",20.0,[],"[sin, CBA, CA, [sine] BCA, BA]",0
2155,"But CA, the distance of the sun from the earth, is 99,302 from Tycho's table.",20.0,"[('99,302', 'PARA')]","[CA, the distance, the sun, the earth, Tycho's table]",0
2156,"(Although this is incorrect, the true value is nevertheless between this and 100,000, as we shall learn below in Ch.",20.0,[],"[the true value, we, Ch]",0
2157,30).,20.0,[],[],0
2158,"Therefore, AB is between 165,680 and 166,846.",20.0,"[('165,680', 'PARA')]",[AB],0
2159,"At perihelion, let the observation be taken that was made on the night following 1593 July 30 at 1h 45m ^3.",20.0,"[('perihelion', 'ASTR'), ('observation', 'ASTR'), ('1593 July 30', 'DATE'), ('1h 45m', 'TIME')]","[perihelion, the observation, the night, 1593 July]",1
2160,Mars was found to be at 17° 39½’ Pisces with latitude 6° 6¼’ south.,20.0,"[('Mars', 'PLAN'), ('latitude', 'ASTR'), ('south', 'ASTR')]","[Mars, 17° 39½’ Pisces, latitude]",0
2161,"Mars's mean longitude was 10s 26° 16' 38"", aphelion 4s 28° 55' 43"", so Mars was 2° 39' 5"" from perihelion, to which corresponds an equation of 32', to be subtracted, in accordance with the above hypothesis, making Mars's eccentric",20.0,"[('Mars', 'PLAN'), ('longitude', 'ASTR'), ('26° 16\' 38""', 'LONG'), ('aphelion', 'ASTR'), ('28° 55\' 43""', 'LONG'), ('Mars', 'PLAN'), ('2° 39\' 5""', 'LONG'), ('perihelion', 'ASTR'), ('Mars', 'PLAN'), ('eccentric', 'ASTR')]","[Mars's mean longitude, 10s 26°, 28°, Mars, perihelion, an equation, accordance, the above hypothesis]",0
2162,"position 10s 25° 44' 30"", and the sun's apparent position 17° 3' 0"" Leo.",20.0,"[('25° 44\' 30""', 'LONG'), ('17° 3\' 0"" Leo.', 'LONG')]","[position, the sun's apparent position]",1
2163,"In the diagram let BA be extended to D, and let AD be at 25° 44' 30"" Aquarius and ED at 17° 39' 30"" Pisces.",20.0,"[('diagram', 'ASTR'), ('25° 44\' 30"" Aquarius', 'LONG'), ('17° 39\' 30"" Pisces.', 'LONG')]","[the diagram, BA, D, AD, ' 30"" Aquarius, ED, 17°, ' 30"" Pisces]",1
2164,"Therefore, EDA is 21° 55' 0"".",20.0,"[('21° 55\' 0""', 'LONG')]",[EDA],1
2165,"And because ED is at 17° 39' 30"" Pisces and EA at 17° 3' Leo, AED is therefore 149° 23' 30"".",20.0,"[('17° 39\' 30"" Pisces', 'LONG'), (""17° 3' Leo"", 'LONG'), ('149° 23\' 30""', 'LONG')]","[ED, 17°, ' 30"" Pisces, EA, 17°, ' Leo, AED]",1
2166,"Now as [sin] EDA is to EA, so is [sine] AED to AD.",20.0,[],"[[sin] EDA, EA]",0
2167,"But EA, the sun's distance from the earth, is 102,689, from Tycho's table, an erroneous figure, to be sure, but it is surely greater than 100,000.",20.0,[],"[EA, the sun's distance, the earth, Tycho's table, an erroneous figure, it]",0
2168,"Therefore, AD is between 140,080 and 136,409.",20.0,"[('140,080', 'PARA')]",[AD],0
2169,"But  since the star Mars is 2⅔ degrees from perihelion, AD will be shorter by about 15 at the perihelion itself, that is, between 140,065 and 136,394.",20.0,"[('star', 'ASTR'), ('Mars', 'PLAN'), ('perihelion', 'ASTR'), ('perihelion', 'ASTR'), ('140,065', 'PARA')]","[the star, Mars, 2⅔ degrees, perihelion, AD, the perihelion, itself]",0
2170,"Distances for both apogee and perigee must be increased, because they were computed using observations related to the ecliptic.",20.0,"[('apogee', 'ASTR'), ('perigee', 'ASTR'), ('ecliptic', 'ASTR')]","[Distances, both apogee, perigee, they, observations, the ecliptic]",0
2171,Thus AD and AB are lines in the plane of the ecliptic.,20.0,"[('ecliptic', 'ASTR')]","[AD, AB, lines, the plane, the ecliptic]",0
2172,"On which point, take this",20.0,[],[which point],0
2173,Protheorem4 to be used frequently below,20.0,[],[],0
2174,"By observations of the star Mars related to the ecliptic, and by lines in the plane of the ecliptic found through those observations, to show the length of lines corresponding to them and next to them in the plane of Mars's own orbit.",20.0,"[('star', 'ASTR'), ('Mars', 'PLAN'), ('ecliptic', 'ASTR'), ('ecliptic', 'ASTR'), ('Mars', 'PLAN'), ('orbit', 'ASTR')]","[observations, the star, Mars, the ecliptic, lines, the plane, the ecliptic, those observations, the length, lines, them, them, the plane, Mars's own orbit]",0
2175,"Let the line BAD be set out in the plane of the ecliptic, and through A, which denotes the sun or center of the world, let the straight line LAM be so drawn in the plane of the orbit that the star be at L and M. Now let the earth be at C, and the triangle CAB be part of the plane of the ecliptic, to which the plane of the triangle LBA is to be understood to be perpendicular.",20.0,"[('ecliptic', 'ASTR'), ('orbit', 'ASTR'), ('star', 'ASTR'), ('ecliptic', 'ASTR')]","[the line BAD, the plane, the ecliptic, A, the sun, center, the world, the straight line LAM, the plane, the orbit, the star, L, the earth, C, the triangle CAB, part, the plane, the ecliptic, the plane, the triangle, LBA]",0
2176,"Let the points C, L, and B be joined, and lines be extended to the surface of the sphere of the fixed stars: AB to β, AL to λ, AC to k; and let κβ be an arc of the ecliptic, βλ an arc of the circle of latitude, and κλ a transverse arc.",20.0,"[('ecliptic', 'ASTR'), ('latitude', 'ASTR')]","[the points, C, L, B, lines, the surface, the sphere, the fixed stars, β, λ, an arc, the ecliptic, the circle, latitude, a transverse arc]",0
2177,"Thus the observation of the star's position beneath the fixed stars is referred to the ecliptic, by means of an arc of the circle of latitude drawn at right angles to the ecliptic κβ through the observed position of the star, and the triangle CLB is part of the plane of that circle.",20.0,"[('observation', 'ASTR'), ('star', 'ASTR'), ('ecliptic', 'ASTR'), ('latitude', 'ASTR'), ('ecliptic', 'ASTR'), ('observed', 'ASTR'), ('star', 'ASTR')]","[the observation, the star's position, the fixed stars, the ecliptic, means, an arc, the circle, latitude, right angles, the observed position, the star, the triangle, CLB, part, the plane, that circle]",0
2178,"But λβ is also by supposition the circle of latitude, perpendicular to the ecliptic κβ.",20.0,"[('latitude', 'ASTR'), ('ecliptic', 'ASTR')]","[supposition, the circle, latitude]",0
2179,"Therefore, the planes CLB and LBA of the two circles perpendicular to the same ecliptic intersect each other at the line LB.",20.0,"[('ecliptic', 'ASTR')]","[Therefore, the planes, CLB, LBA, the two circles, the same ecliptic intersect, the line LB]",0
2180,"Therefore, by Euclid XI.",20.0,[],[Euclid XI],0
2181,"19, the line of intersection LB will be perpendicular to the plane of the ecliptic CBA and to the line BA contained in it; that is, LBA will be a right angle.",20.0,"[('ecliptic', 'ASTR')]","[the line, intersection LB, the plane, the ecliptic CBA, the line, BA, it, LBA, a right angle]",0
2182,"Therefore, once the length of BA on the ecliptic is found, and the angle LAB is known, it will be impossible for the length of LA which is sought to fail to be known.",20.0,"[('ecliptic', 'ASTR')]","[the length, BA, the ecliptic, the angle LAB, it, the length, LA]",0
2183,QEF,20.0,[],[QEF],0
2184,"Now in the matter at hand, since the inclination, or angle LAB, is 1° 48' at this position, LA is 82 parts longer than BA (in the present units), and AM 72 parts longer than AD.",20.0,"[('inclination', 'ASTR'), (""1° 48'"", 'LONG')]","[the matter, hand, the inclination, angle LAB, 1°, this position, LA, BA, the present units, AM, AD]",1
2185,5,20.0,[],[],0
2186,"In new units, taking KL or KM as 100,000, the eccentricity of the eccentric is between 8377 and 10,106.",20.0,"[('eccentricity', 'ASTR'), ('eccentric', 'ASTR')]","[new units, KL, KM, the eccentricity, the eccentric]",0
2187,"But our hypothesis postulated 11,332, which exceeds both of these.",20.0,[],[our hypothesis],0
2188,"Therefore, it postulated something false.",20.0,[],"[it, something]",0
2189,"You should not let it disturb you that the second number, 10,106, which was arrived at through the assumption that AC and AE are equal, comes rather close to 11,332.",20.0,[],"[You, it, you, the second number, the assumption, AC, AE]",0
2190,"For since I have related these observations to the sun's  apparent positions, constructing the eccentricity from the center of the sun's body, AC and AE will therefore not be equal.",20.0,"[('eccentricity', 'ASTR')]","[I, these observations, the sun's  apparent positions, the eccentricity, the center, the sun's body, AC, AE]",0
2191,"Consequently, this eccentricity will be much less than 10,106, and would in fact be 8377 if the sun's distances were correctly given as 99,302 and 102,689, which the requirements of this demonstration leads us to take as 100,000 and 100,000.",20.0,"[('eccentricity', 'ASTR'), ('99,302', 'PARA'), ('100,000', 'PARA')]","[this eccentricity, fact, the sun's distances, the requirements, this demonstration, us]",0
2192,"But since these Tychonic distances will be corrected below, and will be brought closer to the average radius, the eccentricity being sought here certainly lies between these two limits (8377 and 10,106).",20.0,"[('eccentricity', 'ASTR')]","[these Tychonic distances, the average radius, the eccentricity, these two limits]",0
2193,"In fact, it is approximately half the total eccentricity found previously (18,564); that is, 9282.",20.0,"[('eccentricity', 'ASTR')]","[fact, it, approximately half the total eccentricity]",0
2194,"To go through the same demonstration also in the Ptolemaic hypothesis of the second inequality, proceed as in the previous chapter.",20.0,"[('Ptolemaic', 'NAME')]","[the same demonstration, the Ptolemaic hypothesis, the second inequality, the previous chapter]",0
2195,"Draw AI, BI, AF, DF parallel to CB, CA, ED, EA in the larger diagram, and fix the earth at A, and the center of the epicycle (or, more correctly, the point about which the epicycle is rotated, distant from the center of the epicycle by the whole of the sun's eccentricity) at D and B; the sun at H and G; in such a manner that AH is equal and parallel to EA and AG to CA, so that the angles of equated anomaly of commutation are HAD and GAB; let Mars be at I instead of B or L and at F instead of D or M; and the lines AG, AH parallel to BI and DF (the lines of the planet's position on the epicycle) will be the sun's position.",20.0,"[('diagram', 'ASTR'), ('epicycle', 'ASTR'), ('epicycle', 'ASTR'), ('epicycle', 'ASTR'), ('eccentricity', 'ASTR'), ('equated anomaly', 'ASTR'), ('commutation', 'ASTR'), ('Mars', 'PLAN'), ('epicycle', 'ASTR')]","[Draw AI, BI, AF, DF parallel, CB, CA, ED, EA, the larger diagram, the earth, A, the center, the epicycle, the point, the epicycle, the center, the epicycle, the whole, the sun's eccentricity, D, B, the sun, H, G, such a manner, AH, EA, AG, CA, the angles, equated anomaly, commutation, HAD, GAB, Mars, I, B, L, F, D, M, BI, DF, the lines, the planet's position, the epicycle, the sun's position]",0
2196,The rest is obvious.,20.0,[],[The rest],0
2197,"For the Tychonic form and hypothesis of the second inequality, let A remain the earth, H and G the sun; and let HF, GI be drawn parallel and equal to AD, AB, so that Mars is again at F and I. The lines of vision, AF and AI, will therefore also be the same as in Ptolemy, and will be parallel to ED, CB, the lines of vision in the larger diagram.",20.0,"[('Mars', 'PLAN'), ('diagram', 'ASTR')]","[the Tychonic form, hypothesis, the second inequality, the earth, H, G, the sun, HF, GI, AD, AB, Mars, F, I. The lines, vision, AF, AI, Ptolemy, ED, CB, the lines, vision, the larger diagram]",0
2198,"Therefore, they point in the same direction from the sun, and the sum of the lines HF, GI will equal the prior BD.",20.0,[],"[they, the same direction, the sun, the sum, the lines, HF, GI, the prior BD]",0
2199,"Because the lines are parallel, the proof will be the same as the one at the beginning of the chapter.",20.0,[],"[the lines, the proof, the one, the beginning, the chapter]",0
2200,"Now, as in the previous chapter, I shall accommodate the proof that the eccentric's eccentricity has been falsely determined to the Brahean revision as well, which depends upon the sun's mean motion.",20.0,"[('eccentric', 'ASTR'), ('eccentricity', 'ASTR'), ('Brahean', 'NAME')]","[the previous chapter, I, the proof, the eccentric's eccentricity, the Brahean revision, the sun's mean motion]",0
2201,This is done so that no one will think the discrepancy is a result of my having wrongheadedly transposed the observations from the sun's mean motion to its apparent motion.,20.0,"[('apparent motion', 'ASTR')]","[no one, the discrepancy, a result, the observations, the sun's mean motion, its apparent motion]",0
2202,"On 1600 March 5, Mars's mean longitude was, in Tycho's reckoning, 4s 29° 11' 3"", apogee 23° 41' Leo.",20.0,"[('1600 March 5', 'DATE'), ('Mars', 'PLAN'), ('longitude', 'ASTR'), ('29° 11\' 3""', 'LONG'), ('apogee', 'ASTR'), (""23° 41' Leo."", 'LONG')]","[March, Mars's mean longitude, Tycho's reckoning, 23°, Leo]",1
2203,"Therefore, the simple anomaly was 5° 30', which, in his reckoning, requires an equation of 1° 7' 11"", to be subtracted, so as to give Mars an eccentric position of 4s 28° 3' 52"", with the sun's mean position 23° 44' 31"" Pisces.",20.0,"[(""5° 30'"", 'LONG'), ('1° 7\' 11""', 'LONG'), ('Mars', 'PLAN'), ('eccentric', 'ASTR'), ('28° 3\' 52""', 'LONG'), ('23° 44\' 31"" Pisces.', 'LONG')]","[the simple anomaly, 5°, his reckoning, an equation, 1°, Mars, an eccentric position, 4s 28°, the sun's mean position]",1
2204,"In the above diagram let A be the point of the sun's mean motion, distant from the center of the sun by the whole of the sun's eccentricity.",20.0,"[('diagram', 'ASTR'), ('eccentricity', 'ASTR')]","[the above diagram, A, the point, the sun's mean motion, the center, the sun, the whole, the sun's eccentricity]",0
2205,"Therefore, the angle CBA is 28° 51' 22"", and BCA is 125° 28' 0"".",20.0,"[('28° 51\' 22""', 'LONG'), ('125° 28\' 0""', 'LONG')]","[the angle CBA, 28°, BCA]",1
2206,"Also, this demonstration requires that AE and AC be assumed equal, namely, 100,000, retaining those suppositions made by Tycho and the ancients.",20.0,[],"[this demonstration, AE, AC, those suppositions, Tycho, the ancients]",0
2207,"These will be given an airing in Part III below, where it will be shown that the distance of the earth from the point of the sun's mean position is somewhat less; that is, that the Ptolemaic epicycle or the Copernican-Tychonic annual orb is not placed evenly about that point about which equal angles are traversed in equal times.",20.0,"[('Ptolemaic', 'NAME'), ('epicycle', 'ASTR'), ('Copernican', 'NAME'), ('orb', 'ASTR')]","[an airing, Part III, it, the distance, the earth, the point, the sun's mean position, the Ptolemaic epicycle, the Copernican-Tychonic annual orb, that point, equal angles, equal times]",0
2208,"But for now let us hold to the fundamentals as given: and let CA be 100,000; therefore, AB will be 168,760.",20.0,[],"[us, the fundamentals, CA, AB]",0
2209,"At perigee, on 1593 July 30, since (in Brahe's reckoning) Mars's [mean] longitude was 10s 26° 12' 43"" and the apogee was at 23° 34' Leo, the simple anomaly was 182° 38' 43"", which requires an equation of 35' 52"", to be added.",20.0,"[('perigee', 'ASTR'), ('1593 July 30', 'DATE'), ('Mars', 'PLAN'), ('longitude', 'ASTR'), ('26° 12\' 43""', 'LONG'), ('apogee', 'ASTR'), (""23° 34' Leo"", 'LONG'), ('182° 38\' 43""', 'LONG'), ('35\' 52""', 'LONG')]","[perigee, 1593 July, Brahe, Mars's [mean] longitude, 10s, 26°, the apogee, 23°, ' Leo, the simple anomaly, 182°, an equation]",1
2210,"Therefore, Mars's eccentric position was 10s 26° 48' 35"", and the sun's mean position 18° 24' 31"" [Leo].",20.0,"[('Mars', 'PLAN'), ('eccentric', 'ASTR'), ('26° 48\' 35""', 'LONG'), ('18° 24\' 31""', 'LONG')]","[Mars's eccentric position, 10s, 26°, the sun's mean position, 18°, "" [Leo].]",1
2211,"Therefore, in the diagram, EDA will be 20° 50' 55"", and AED will be 158° 45' 0"" ^6.",20.0,"[('diagram', 'ASTR'), ('20° 50\' 55""', 'LONG'), ('158° 45\' 0""', 'LONG')]","[the diagram, EDA, AED]",1
2212,"Let EA again be 100,000, although below (as has just been remarked) it will turn out to be somewhat greater.",20.0,[],"[EA, it]",0
2213,"AD is therefore 137,300.",20.0,[],[AD],0
2214,"This you shall diminish by 15 so as to fit right at perigee: let it be 137,285.",20.0,"[('perigee', 'ASTR')]","[you, it]",0
2215,"The other you shall increase by about 100, so as to fit exactly at the apogee, so it will be 168,860.",20.0,"[('apogee', 'ASTR')]","[you, the apogee, it]",0
2216,"But we shall increase both (as before) because of the inclination of the planes, 82 being added at apogee and 72 at perigee.",20.0,"[('inclination', 'ASTR'), ('apogee', 'ASTR'), ('perigee', 'ASTR')]","[we, the inclination, the planes, apogee]",0
2217,"The final values will be:  
the eccentricity from the point of the sun's mean motion, or (in the Ptolemaic form) on the line of apsides drawn through the center of the epicycle.",20.0,"[('eccentricity', 'ASTR'), ('Ptolemaic', 'NAME'), ('apsides', 'ASTR'), ('epicycle', 'ASTR')]","[The final values, the eccentricity, the point, the sun's mean motion, the Ptolemaic form, the line, apsides, the center, the epicycle]",0
2218,"Now where BK is 100,000, KA is 10,312.",20.0,[],"[BK, KA]",0
2219,"However, the Tychonic revision based upon acronychal observations and presented in Chapter 8 required BK to be greater, namely, 12,352.",20.0,[],"[the Tychonic revision, acronychal observations, Chapter, BK]",0
2220,"It has therefore been shown that the Tychonic revision is also subject to the same incongruity, that the eccentric has one eccentricity that results from acronychal observations, and a different one that results from the others.",20.0,"[('eccentric', 'ASTR'), ('eccentricity', 'ASTR')]","[It, the Tychonic revision, the same incongruity, the eccentric, one eccentricity, acronychal observations, the others]",0
2221,"And meanwhile, the observations in this Tychonic rendition lead the way to bisection.",20.0,[],"[the observations, this Tychonic rendition, the way, bisection]",0
2222,"For Tycho's figure for the whole eccentricity of the equalizing point is 20,160, half of which is 10,080, or in the form of the Ptolemaic equant, 9882.",20.0,"[('eccentricity', 'ASTR'), ('Ptolemaic', 'NAME'), ('equant', 'ASTR')]","[Tycho's figure, the whole eccentricity, the equalizing point, half, the form, the Ptolemaic equant]",0
2223,"And here we have found it to be 10,312, which closely approximates half the Tychonic value.",20.0,[],"[we, it, half the Tychonic value]",0
2224,"Indeed, it will approach much nearer, decreasing to a value less than the Tychonic (that is, to a very exact 9282), when AC in the greater diagram (BI in the smaller, on the left) is diminished, and along with it AB or GI (the distance at apogee); and, in turn, when AE of the right diagram (and its equal and equivalent DF of the left) is increased, and along with it AD or HF (the distance at perigee).",20.0,"[('diagram', 'ASTR'), ('apogee', 'ASTR'), ('diagram', 'ASTR'), ('perigee', 'ASTR')]","[it, a value, the Tychonic, AC, the greater diagram, the left, it AB, GI, apogee, turn, AE, the right diagram, its equal and equivalent DF, the left, it]",0
2225,"For when the lesser part is increased, and the greater diminished, the difference between the two is decreased.",20.0,[],"[the lesser part, the difference]",0
2226,"The blame for this discrepancy among the different ways of finding the eccentricity (I am repeating this over and over so that it will be remembered) falls entirely upon the faulty assumptions deliberately entertained by me, in common with Tycho and all who have ever devised hypotheses.",20.0,"[('eccentricity', 'ASTR')]","[The blame, this discrepancy, the different ways, the eccentricity, I, it, the faulty assumptions, me, Tycho, who, hypotheses]",0
2227,For the necessary consequence of this enquiry is that there is no single fixed point on the planet's eccentric about which the planet always sweeps out equal angles in equal times.,20.0,"[('eccentric', 'ASTR')]","[the necessary consequence, this enquiry, no single fixed point, the planet, equal angles, equal times]",0
2228,"We would instead have to make such a point reciprocate up and down along the line of apsides—if, indeed, we could keep the other assumption of a circular orbit.",20.0,"[('apsides', 'ASTR'), ('orbit', 'ASTR')]","[We, such a point, the line, apsides, we, the other assumption, a circular orbit]",0
2229,"And how such a reciprocation could be reconciled with natural principles, I do not see.",20.0,[],"[such a reciprocation, natural principles, I]",0
